,prediction,signal,position,actual_return,strategy_return,equity,transaction_cost,cum_cost
2023-08-01,0.012337522581219673,1.0,0.5,0.0,-0.00025,99975.0,0.00025,0.00025
2023-08-02,0.011562081053853035,1.0,0.5,-0.026282975710303136,-0.013141487855151568,98661.17975168122,0.0,0.00025
2023-08-03,0.01615257002413273,1.0,0.5,-0.002564873051300376,-0.001282436525650188,98534.65305110393,0.0,0.00025
2023-08-04,0.01637365110218525,1.0,0.5,0.0034285929132551463,0.0017142964566275731,98703.57065768445,0.0,0.00025
2023-08-07,0.01346852071583271,1.0,0.5,0.007108597067756017,0.0035542985338780086,99054.39261416158,0.0,0.00025
2023-08-08,0.010012524202466011,1.0,0.5,-0.012298979509066332,-0.006149489754533166,98445.25864163929,0.0,0.00025
2023-08-09,0.011536957696080208,1.0,0.8,-0.011715966239049136,-0.00952277299123931,97507.78679153112,0.00015000000000000001,0.0004
2023-08-10,0.01342652179300785,1.0,0.8,0.0021721732170287833,0.0017377385736230266,97677.22983386737,0.0,0.0004
2023-08-11,0.010936049744486809,1.0,1.0,-0.005945325707145899,-0.006045325707145899,97086.73916534989,9.999999999999998e-05,0.0005
2023-08-14,0.010679883882403374,1.0,1.0,0.009438747963677496,0.009438747963677496,98003.11642694693,0.0,0.0005
2023-08-15,0.007372817024588585,1.0,1.0,-0.006727447423689581,-0.006727447423689581,97343.80561382692,0.0,0.0005
2023-08-16,0.008729102090001106,1.0,1.0,-0.0024285142732234366,-0.0024285142732234366,97107.40479248385,0.0,0.0005
2023-08-17,0.011076388880610466,1.0,1.0,-0.010986519831521213,-0.010986519831521213,96040.53236394367,0.0,0.0005
2023-08-18,0.012872694060206413,1.0,1.0,-0.0012619999695691053,-0.0012619999695691053,95919.32921502297,0.0,0.0005
2023-08-21,0.01237005926668644,1.0,1.0,0.017062557271374734,0.017062557271374734,97555.95826318614,0.0,0.0005
2023-08-22,0.010247303172945976,1.0,1.0,0.0018019383158418556,0.0018019383158418556,97731.74808231925,0.0,0.0005
