,prediction,signal,position,actual_return,strategy_return,equity,transaction_cost,cum_cost
2023-08-01,-0.038302719593048096,-1.0,-0.5,0.0,-0.00025,99975.0,0.00025,0.00025
2023-08-02,-0.03689570724964142,-1.0,-0.5,-0.048121787475430944,0.024060893737715472,102380.48785142809,0.0,0.00025
2023-08-03,-0.0387093722820282,-1.0,-0.5,0.005556931534105303,-0.0027784657670526514,102096.02717071875,0.0,0.00025
2023-08-04,-0.03503330796957016,-1.0,-0.5,0.0037066180112304004,-0.0018533090056152002,101906.81168412573,0.0,0.00025
2023-08-07,-0.03241162747144699,-1.0,-0.5,0.016495228541681506,-0.008247614270840753,101066.32360978385,0.0,0.00025
2023-08-08,-0.0282325129956007,-1.0,-0.8,-0.016579671863042655,0.013113737490434124,102391.68084672584,0.00015000000000000001,0.0004
2023-08-09,-0.029174892231822014,-1.0,-0.8,-0.047241722037709044,0.03779337763016724,106261.40830715372,0.0,0.0004
2023-08-10,-0.03074752353131771,-1.0,-0.8,-0.0039007539812945247,0.00312060318503562,106593.0079963634,0.0,0.0004
2023-08-11,-0.028420520946383476,-1.0,-0.8,-0.03616599101348694,0.028932792810789556,109677.04141180104,0.0,0.0004
2023-08-14,-0.02709043212234974,-1.0,-0.8,0.07093360210489541,-0.05674688168391633,103453.21131936357,0.0,0.0004
2023-08-15,-0.02136760763823986,-1.0,-0.17017633152347444,0.004274111704359651,-0.0010422644846077333,103345.38571138679,0.0003149118342382628,0.0007149118342382628
2023-08-16,-0.020494354888796806,-1.0,-0.17868490548979782,-0.010332321396439914,0.0018419755852299203,103535.74538871333,4.254286983161687e-06,0.0007191661212214245
2023-08-17,-0.017476191744208336,-1.0,-0.1871599819891279,-0.0032654738211645995,0.00060692848330547,103598.58418163001,4.2375382496650376e-06,0.0007234036594710896
2023-08-18,-0.012653781101107597,-1.0,-0.3127279061306342,-0.0010382706856583157,0.00026191225545198985,103625.71792047465,6.278396207075317e-05,0.0007861876215418428
2023-08-21,-0.009463151916861534,-1.0,-0.3252908783856576,0.08471344610766662,-0.027562792781566453,100769.50373059155,6.281486127511699e-06,0.0007924691076693545
2023-08-22,-0.007525725290179253,-1.0,-0.16380783841651936,-0.02765770959904823,0.00444980810498734,101217.90868502748,8.074151998456913e-05,0.0008732106276539237
2023-08-23,-0.012514075264334679,-1.0,-0.1661236780903001,0.031707183318979926,-0.005268471834669245,100684.64498395628,1.1579198368903698e-06,0.000874368547490814
2023-08-24,-0.012600978836417198,-1.0,-0.16743576652780223,0.0009974451305920784,-0.0001676640342288595,100667.76379019338,6.560442187510673e-07,0.0008750245917095651
2023-08-25,-0.01851440779864788,-1.0,-0.1725883223385604,-0.024277550601468856,0.004187445450891639,101089.30455972806,2.576277905379079e-06,0.0008776008696149442
2023-08-28,-0.022425172850489616,-1.0,-0.17496489157899983,0.017753975470220507,-0.0031075106778635734,100775.16846639091,1.1882846202197206e-06,0.0008787891542351639
2023-08-29,-0.024098312482237816,-1.0,-0.17849975707832172,0.04161412789856467,-0.007429879153669665,100026.42114299492,1.7674327496609437e-06,0.0008805565869848248
2023-08-30,-0.025475477799773216,-1.0,-0.17230227447520274,0.009839226121740596,-0.0016984197811532923,99856.53429068769,3.098741301559488e-06,0.0008836553282863843
2023-08-31,-0.03024967573583126,-1.0,-0.18351690292957412,0.0018472317561744056,-0.00034460556511347083,99822.12317325817,5.607314227185689e-06,0.00088926264251357
2023-09-01,-0.03369584679603577,-1.0,-0.1834478294028808,-0.01714115187556675,0.0031444725682744927,100136.0111012834,3.4536763346665334e-08,0.0008892971792769166
2023-09-05,-0.036566562950611115,-1.0,-0.1812547853666715,0.000804003648551932,-0.00014682603077040586,100121.30852823622,1.0965220181046455e-06,0.0008903937012950213
2023-09-06,-0.03686191886663437,-1.0,-0.18186067164691957,-0.030549612766782586,0.005555470153180266,100677.5294694622,3.0294314012403733e-07,0.0008906966444351453
2023-09-07,-0.04014141112565994,-1.0,-0.17862500615376997,-0.017424123578110517,0.0031107663486174652,100990.71374019774,1.6178327465748016e-06,0.0008923144771817201
2023-09-08,-0.04110591113567352,-1.0,-0.18836780934683833,-0.014467696787943796,0.002720376948642728,101265.44654988355,4.87140159653418e-06,0.0008971858787782543
2023-09-11,-0.042867183685302734,-1.0,-0.18698342562330292,-0.00864569584436492,0.0016159096340147396,101429.0823605563,6.921918617677075e-07,0.000897878070640022
2023-09-12,-0.04219284653663635,-1.0,-0.3113234571583558,-0.006817483189078821,0.002060272419775465,101638.05390150688,6.217001576752644e-05,0.0009600480864075485
2023-09-13,-0.039452411234378815,-1.0,-0.3584017428263921,0.013706270670302612,-0.004935890438720736,101136.37960304425,2.3539142834018145e-05,0.0009835872292415667
2023-09-14,-0.03585251420736313,-1.0,-0.3566398178982915,0.0021107337061430087,-0.0007536526470546789,101060.1579028429,8.809624640502834e-07,0.000984468191705617
2023-09-15,-0.033540889620780945,-1.0,-0.35875047674739363,-0.03687971915268118,0.013229561498909805,102397.13947690808,1.0553294245510547e-06,0.000985523521130168
2023-09-18,-0.033233582973480225,-1.0,-0.34076781123849015,0.0015034680634340436,-0.0005213248539978423,102343.75730312048,8.991332754451742e-06,0.0009945148538846196
2023-09-19,-0.030073916539549828,-1.0,-0.34081610951832353,-0.010144157936083809,0.0034572682929755938,102697.58713022855,2.4149139916690433e-08,0.0009945390030245364
2023-09-20,-0.02473757229745388,-1.0,-0.5935047365910368,-0.029434586134298835,0.017343221976766854,104478.69418030645,0.00012634431353635662,0.001120883316560893
2023-09-21,-0.018586209043860435,-1.0,-0.5901531799142165,-0.02893077645801645,0.01707191394574735,106262.3454565167,1.67577833841015e-06,0.0011225590948993032
2023-09-22,-0.009970178827643394,-1.0,-0.6227252722707413,0.014457443131339343,-0.009019301256480311,105303.9333506242,1.6286046178262402e-05,0.0011388451410775657
2023-09-25,-0.0012482758611440659,0.0,-0.6066018467705914,0.014708093593606586,-0.008930018449106533,104363.56728303964,8.061712750074945e-06,0.0011469068538276406
2023-09-26,0.006065884605050087,1.0,0.6056675525726403,-0.007366025617263627,-0.0050674974074670495,103834.70517639883,0.0006061346996716158,0.0017530415534992563
2023-09-27,0.013309257104992867,1.0,0.6269920647939216,0.013290235446857812,0.008322209908312105,104698.83938864451,1.0662256110640644e-05,0.0017637038096098968
2023-09-28,0.021485039964318275,1.0,0.7352694914892148,0.01462280466468524,0.010697563436601588,105818.8618647431,5.413871334764664e-05,0.0018178425229575434
2023-09-29,0.02764434553682804,1.0,0.7224838818140441,0.00951528354490705,0.006868246187248158,106545.65185928457,6.392804837585365e-06,0.0018242353277951287
2023-10-02,0.03332845866680145,1.0,0.7100978284008912,0.02949477557550284,0.020937983058629636,108776.50291288491,6.193026706576454e-06,0.0018304283545017052
2023-10-03,0.03823380917310715,1.0,0.650419753269065,-0.028248091040512846,-0.018402955442458364,106774.69377659264,2.9839037565913108e-05,0.0018602673920676183
2023-10-04,0.040569983422756195,1.0,0.625167950738001,0.012041407585624553,0.00751527620304039,107577.1350918188,1.2625901265531981e-05,0.0018728932933331503
2023-10-05,0.04573146253824234,1.0,0.6452837925617678,0.014690887141007636,0.00946973344953443,108595.86188640287,1.00579209118834e-05,0.0018829512142450337
2023-10-06,0.04942283779382706,1.0,0.6422277795745129,0.024033304560156843,0.015433327817013918,110271.8574224669,1.528006493627443e-06,0.0018844792207386612
2023-10-09,0.05234236270189285,1.0,0.6231348935585861,-0.010685735082960224,-0.006668200836523632,109536.54253055739,9.546443007963424e-06,0.0018940256637466246
2023-10-10,0.051770515739917755,1.0,0.6213385355904076,0.011596363903730866,0.007204369587133511,110325.6842662443,8.981789840892263e-07,0.001894923842730714
