,prediction,signal,position,actual_return,strategy_return,equity,transaction_cost,cum_cost
2023-07-31,-0.005262541584670544,-1.0,-0.5,0.0,-0.00025,99975.0,0.00025,0.00025
2023-08-01,-0.009972169063985348,-1.0,-0.5,0.008943618462558645,-0.004471809231279322,99527.93087210285,0.0,0.00025
2023-08-02,-0.014158136211335659,-1.0,-0.5,-0.0033022859273771354,0.0016511429636885677,99692.2657148528,0.0,0.00025
2023-08-03,-0.014871069230139256,-1.0,-0.5,-0.01182920021474021,0.005914600107370105,100281.90560035384,0.0,0.00025
2023-08-04,-0.014448423869907856,-1.0,-0.5,0.012823753550665895,-0.0064118767753329475,99638.9103788488,0.0,0.00025
2023-08-07,-0.01834776997566223,-1.0,-1.0,0.011761156410550422,-0.012011156410550422,98442.13184171163,0.00025,0.0005
2023-08-08,-0.021010838449001312,-1.0,-1.0,-0.003860430082462729,0.003860430082462729,98822.16080885513,0.0,0.0005
2023-08-09,-0.02222827821969986,-1.0,-1.0,-0.002334018925992387,0.002334018925992387,99052.81360249047,0.0,0.0005
2023-08-10,-0.024840116500854492,-1.0,-1.0,-0.005891622772490557,0.005891622772490557,99636.39541479017,0.0,0.0005
2023-08-11,-0.029164938256144524,-1.0,-1.0,0.00194637099277295,-0.00194637099277295,99442.46602493037,0.0,0.0005
2023-08-14,-0.033382318913936615,-1.0,-1.0,0.00030444655046446556,-0.00030444655046446556,99412.1911091794,0.0,0.0005
2023-08-16,-0.035396017134189606,-1.0,-1.0,0.002478332021830898,-0.002478332021830898,99165.81469259315,0.0,0.0005
2023-08-17,-0.03700994700193405,-1.0,-1.0,-0.006549204184182922,0.006549204184182922,99815.27186110581,0.0,0.0005
2023-08-18,-0.035949353128671646,-1.0,-1.0,-0.019980999836374358,0.019980999836374358,101809.68079183024,0.0,0.0005
2023-08-21,-0.03059280663728714,-1.0,-1.0,0.010261084008771348,-0.010261084008771348,100765.00310431907,0.0,0.0005
2023-08-22,-0.02959945611655712,-1.0,-1.0,-0.0057325419007902,0.0057325419007902,101342.64270674782,0.0,0.0005
2023-08-23,-0.024651452898979187,-1.0,-1.0,0.004760354289284452,-0.004760354289284452,100860.21582285133,0.0,0.0005
2023-08-24,-0.02151700109243393,-1.0,-1.0,-0.0030899843377786285,0.0030899843377786285,101171.8723100489,0.0,0.0005
2023-08-25,-0.015690986067056656,-1.0,-1.0,-0.0019038182339238263,0.0019038182339238263,101364.48516531297,0.0,0.0005
2023-08-28,-0.012345184572041035,-1.0,-1.0,-0.0017004595134868516,0.0017004595134868516,101536.85136844203,0.0,0.0005
2023-08-29,-0.007882793433964252,-1.0,-1.0,0.00017775571381850597,-0.00017775571381850597,101518.80261294814,0.0,0.0005
2023-08-30,-0.005272536538541317,-1.0,-1.0,0.004383472450659065,-0.004383472450659065,101073.79773847038,0.0,0.0005
